circuitstring,Parameters
"[R1,P2]-R3","{'R1': 4629850.950489079, 'P2w': 1.986654418783627e-06, 'P2n': 0.9373079960849923, 'R3': 139.14713047605449}"
"[R1-L2,P3-[[R4,R5],R6]]","{'R1': 609955184.3970064, 'L2': 0.0031444977982864465, 'P3w': 186056093.660555, 'P3n': 0.9377831130632818, 'R4': 734539006.0446563, 'R5': 3356271.778890835, 'R6': 524594073.0091415}"
"[[L1,R2]-P3-C4-[R5,C6],R7]","{'L1': 4.999999878954241, 'R2': 145.0572708543285, 'P3w': 2.6624394179460344e-05, 'P3n': 0.7620593622024658, 'C4': 7.199807124129233e-06, 'R5': 3163085.682288233, 'C6': 2.468139864625004e-06, 'R7': 6160568.428667738}"
"R1-[R2,P3-R4]","{'R1': 35.07220572671824, 'R2': 4629955.027337872, 'P3w': 1.986565107637467e-06, 'P3n': 0.9373079957841405, 'R4': 104.07726417290927}"
"P1-R2-[P3,R4]-R5","{'P1w': 2.7265188153219155e-06, 'P1n': 0.868149232948759, 'R2': 77.43663917559485, 'P3w': 452987714.04031914, 'P3n': 0.8651039170000835, 'R4': 390587055.2351061, 'R5': 52.77581578101956}"
"[R1,P2]-[R3,L4]","{'R1': 5231046.081811036, 'P2w': 2.3029244738823455e-06, 'P2n': 0.8696861409465443, 'R3': 255037330.77392218, 'L4': 3.48458615870188e-19}"
"[P1,R2]-R3","{'P1w': 1.986654421287769e-06, 'P1n': 0.9373079956697399, 'R2': 4629850.948128927, 'R3': 139.1471305383522}"
"L1-[P2,R3]-[R4,L5]-P6-R7","{'L1': 7.336357952082608e-20, 'P2w': 2.035576896057408e-06, 'P2n': 0.9521824825733203, 'R3': 3756228.5744548813, 'R4': 862734206.1976002, 'L5': 4.4767342105739886e-20, 'P6w': 3.0600477686348286e-05, 'P6n': 0.8656671995057185, 'R7': 139.68410278904608}"
"[P1,R2]-R3","{'P1w': 1.986654420797904e-06, 'P1n': 0.9373079958624846, 'R2': 4629850.948011806, 'R3': 139.1471304537049}"
"[R1,P2]-R3","{'R1': 4629850.944313462, 'P2w': 1.9866544183259468e-06, 'P2n': 0.9373079959458546, 'R3': 139.14713083179643}"
"[P1-P2,R3-P4]","{'P1w': 1.80810747066919e-06, 'P1n': 0.9567733913733528, 'P2w': 0.006403530263630769, 'P2n': 0.009613595443385378, 'R3': 2663211.489720517, 'P4w': 2.091742612792224e-06, 'P4n': 0.38788778064911555}"
"[P1,R2]-R3","{'P1w': 1.9866544216655444e-06, 'P1n': 0.9373079957860501, 'R2': 4629850.950950482, 'R3': 139.14713074426535}"
"[R1,P2]-[P3,L4]","{'R1': 4710273.475528937, 'P2w': 2.009972736714147e-06, 'P2n': 0.9255686599735783, 'P3w': 0.007111688478589911, 'P3n': 0.0009531229984296323, 'L4': 0.1567818715601615}"
"[[R1,R2-P3],R4]","{'R1': 4657704.173271249, 'R2': 139.15131257998814, 'P3w': 1.986535009374383e-06, 'P3n': 0.9373079958267864, 'R4': 778128772.9201634}"
